,name,longitude,latitude,rating,calls
181,El Camino Memorial Park,-117.18441999999999,32.89355,3.5,8
182,Greenwood Memorial Park & Mortuary,-117.10308149999999,32.7059012,4.5,34
183,Burial At Sea San Diego,-117.20557020000001,32.7256718,5.0,1
184,Burials At Sea,-117.19822690000001,32.727211,5.0,0
185,Vintage Soul Charters,-117.22673999999999,32.72477,5.0,37
186,San Diego Burial At Sea,-117.22200890000002,32.719324,5.0,4
187,Casket Gallery Showrooms,-117.09063959999999,32.7820714,5.0,24
188,Rose Canyon Open Space Park,-117.21250400000001,32.859997,4.0,24
189,Cortez Cremations and Funeral Services,-117.1636337,32.72805301,5.0,144
190,Mount Hope Cemetery,-117.11485929999999,32.7113899,4.5,54
191,Ashes On The Sea,-117.1704788,32.78287125,4.5,29
192,Balboa Cremation Services,-117.13042970000001,32.76212460000001,5.0,89
193,Encanto Recreation Center,-117.05796370000002,32.71472564,3.5,39
194,Encanto Park,-117.9380608,34.14290669,4.5,0
195,Radio Drive Canyon,-117.07276110000001,32.7100593,5.0,30
196,El Toyon Park,-117.0876372,32.6851995,3.0,4
197,Fiesta Island Off Leash Dog Park,-117.21639180000001,32.77165122,4.5,2
198,Encanto Veterans of Foreign Wars 6874,-117.0501,32.7401,4.0,22
199,Marcy Park,-117.22324499999999,32.847289,4.5,10
200,Gershwin Neighborhood Park,-117.211569,32.834965999999994,3.5,18
201,Aaron Bowen,-117.16431000000001,32.7211,5.0,336
202,San Dieguito County Park,-117.2380967,32.9960741,4.5,0
203,Lyceum Theatre,-117.1618841,32.71459249,4.0,574
204,San Diego Symphony,-117.15789,32.718059999999994,4.0,543
205,The Old Globe,-117.1522108,32.73216871,4.5,64
206,Summer Pops,-117.1631942,32.70540189,4.0,160
207,North Coast Repertory Theatre,-117.25209440000002,32.995421,5.0,0
208,The Shout! House,-117.1609251,32.7121288,4.0,591
209,Macdowell Neighborhood Park,-117.17497250000001,32.839832300000005,3.5,17
210,Serra Mesa Recreation Center,-117.13303470000001,32.80509489999999,3.0,39
211,Pacific Beach,-117.25568899999999,32.796636,4.0,142
212,La Jolla Shores,-117.2576412,32.85695472,4.5,11
