id, long, lat
E19060041814, -117.1638499, 32.7220992
E19020021025, -117.2474592, 32.948758
E19120040221, -116.9311607, 32.5568367
E19030009859, -117.1448305, 32.9101085
E19090014451, -117.1400765, 32.7553814
E19010018627, -117.1592365, 32.7168138
E19030030874, -117.1456713, 32.9563476
E19070015912, -117.1425352, 32.6975356
E19100009641, -117.2050268, 32.7530071
E19040046531, -117.2182131, 32.8808306
E19080027207, -117.1935165, 32.7882486
E19090050287, -117.1629417, 32.7219322
E19060026220, -117.0921782, 33.0052287
E19010047740, -117.161215, 32.7313886
E19020005979, -117.15328, 32.7669328
E19070005692, -117.1825983, 32.8196556
E19040050975, -117.2280362, 32.8230807
E19030028962, -117.2258828, 32.9240779
E19090046954, -117.207631, 32.8597201
E19050028032, -117.1020713, 32.745903
E19010000311, -117.1841839, 32.759778
E19080007990, -117.0805825, 33.0335773
E19010001220, -117.1654818, 32.9395104
E19120008063, -117.1383702, 32.8349877
E19080006757, -117.0835341, 32.7332244
E19090020695, -117.1422715, 32.8337952
E19110027222, -117.1616005, 32.7414657
E19070003463, -117.1574202, 32.7146893
E19060000647, -117.1115744, 32.7572676
E19080006083, -117.2213975, 32.9024762
E19020018351, -117.0623211, 32.5852168
E19060038239, -117.1124452, 32.6970877
E19020039563, -117.1738685, 32.7846665
E19120014770, -117.0458521, 32.5508534
E19070032780, -117.2341257, 32.868604
E19010044351, -117.1592244, 32.7125892
E19040035545, -117.0911662, 32.7530982
E19120045985, -117.2468514, 32.7455974
E19040033487, -117.1512519, 32.7485687
E19020011638, -117.2331061, 32.787847
E19060020788, -117.1424634, 32.7139361
E19100025571, -117.1509647, 32.892976
E19070032772, -117.1488502, 32.7663564
E19050048773, -117.2546775, 32.7925636
E19120024541, -117.0401937, 32.6758738
E19100005053, -117.0753935, 32.5916159
E19020040635, -117.130658, 32.7348072
E19010006711, -117.2723647, 32.84371840000001
E19010007794, -117.2111157, 32.7505702
E19120020210, -117.0520567, 32.5607757
E19070036274, -117.2451364, 32.7123456
E19110044938, -117.2216328, 32.7510447
E19090023991, -117.0630336, 32.7714997
E19080019183, -117.1519053, 32.7083836
E19070055744, -117.1251614, 32.7076146
E19120004300, -117.1005132, 32.7154338
E19120032868, -116.945069, 32.5566673
E19040016717, -117.1203895, 32.9137406
E19040035513, -117.1613933, 32.826733
E19080005215, -117.1601472, 32.7115324
E19110045347, -117.1954724, 32.7641365
E19060021313, -117.056664, 32.5566065
E19110020894, -117.1575836, 32.7158401
E19030003035, -117.2238697, 32.8048652
E19010027203, -116.9967724, 32.571834
E19100024657, -117.1762156, 32.801897
E19120039553, -117.0997444, 32.7889688
E19070009210, -117.1534578, 32.7484151
E19120046326, -117.1494437, 32.7073251
E19100013804, -117.0231085, 32.8011583
E19010034785, -117.2718598, 32.8331471
E19060001838, -117.2439556, 32.79714440000001
E19100010332, -117.0756743, 32.7212572
E19120021324, -117.2530172, 32.8137187
E19020009485, -117.1601681, 32.7157397
E19120046940, -117.1893021, 32.8347199
E19110027468, -117.155576, 32.7104597
E19110001113, -117.0753935, 32.5916159
E19070042664, -117.2187708, 32.7367542
E19030051329, -117.2427488, 32.7917626
E19120014569, -117.0998242, 32.7496365
E19060036907, -117.1488953, 32.8328605
E19110038265, -117.1608182, 32.7201235
E19110033303, -117.0321563, 32.7064106
E19030025280, -117.1137783, 32.80357730000001
E19070044967, -117.2162268, 32.8770425
E19110029346, -117.0973394, 32.5726235
E19050002411, -117.0794553, 32.75488130000001
E19110017485, -117.1494437, 32.7073251
E19010003378, -117.2466391, 32.7520548
E19120041664, -117.0865593, 32.7442622
E19030015658, -117.1481666, 32.7540102
E19110026200, -117.1300905, 32.7484628
E19120001061, -117.0849522, 32.7086416
E19010011812, -117.2044555, 32.8545544
E19070014548, -117.0568008, 32.5651345
E19040025136, -117.0445698, 32.5522555
E19050031394, -117.2368378, 32.8278327
E19010003757, -117.1595575, 32.7734738
E19010029253, -117.0849383, 32.704639
E19090034496, -117.1546949, 32.7642512
E19070046162, -117.0874185, 32.6967945
E19030027475, -117.1247197, 33.0163755
E19090005287, -117.1615533, 32.74332589999999
E19010032660, -117.1289243, 32.7503623
E19050016605, -117.066729, 32.5659757
E19110012671, -117.2196962, 32.7358703
E19050041847, -117.1024459, 32.6889796
E19040046303, -117.0978633, 32.7137094
